# Task: cycling,,,,,,
# Frequency (Hz): 20,,,,,,
# Clock (millisecond): 250,,,,,,
# Duration (seconds): 120,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,41.67,0.47,17.67,2.87,14.5,2.06
250,42,2.12,9.67,6.34,14.75,2.49
500,35.75,1.79,13.75,3.03,18.5,4.09
750,34.25,4.02,17.75,1.09,16.25,3.7
1000,36.5,4.33,14.75,1.09,12.67,4.92
1250,40.5,1.66,10.75,6.14,18.75,1.48
1500,43,1.87,17.33,2.49,15.5,2.29
1750,38.25,1.92,14,0,17.67,1.25
2000,37.5,1.5,15.5,3.28,19,1
2250,33,2.16,17.33,3.86,14.5,2.87
2500,30.5,2.69,14,3,16.5,3.2
2750,38.67,2.49,7.33,7.59,16.5,3.04
3000,42,0,18.33,2.05,14.75,2.17
3250,36.75,3.56,10.25,3.42,16.5,5.68
3500,35.75,1.79,15.25,1.09,19.25,1.48
3750,35.25,2.49,14.5,3.57,13.75,1.79
4000,31.67,5.79,10.67,4.78,17,4.32
4250,39.75,1.3,13.5,6.22,14,5.34
4500,40.5,1.5,14,2.12,15.5,2.6
4750,36.25,3.34,12.33,3.77,15.67,4.11
5000,33.5,2.87,20,1.22,16.75,2.68
5250,32.25,3.77,13.67,1.25,13.33,3.09
5500,36.5,2.69,6.75,4.15,17.5,3.04
5750,41,1,18,0,17.67,0.47
6000,40,1.41,13.67,1.25,17,1.22
6250,37,1.22,15.75,2.49,19.5,2.69
6500,32,1.41,19.5,1.5,17.67,2.87
6750,32.67,2.49,13.67,1.7,13,5.34
7000,38.67,0.47,7,5.35,9.75,6.98
7250,42,0,18,0.82,15.25,1.48
7500,40.25,2.17,13.75,5.36,12,6.4
7750,35.75,1.79,15,3,18,2.12
8000,35.25,1.3,18.75,1.79,13.25,3.27
8250,30.75,5.76,13,5.72,14.25,3.9
8500,35,4.12,6.5,3.84,13.25,3.7
8750,40.5,1.5,16.67,1.89,16.67,1.25
9000,41.5,0.87,16.33,0.47,15,1.41
9250,36,0,14.33,1.25,21,0
9500,32.5,0.87,18,2.12,17.25,3.27
9750,37.67,3.3,14.33,0.94,18.25,3.7
10000,37,1.22,10,3.16,15.5,2.87
10250,38.5,0.5,15.5,2.6,17.5,4.92
10500,40.5,1.12,15.25,2.17,19.25,1.3
10750,36.75,3.27,12.5,4.5,19.75,1.3
11000,34,1.73,18.33,0.47,18.33,2.62
11250,32.67,5.31,16.33,3.3,17,1.41
11500,37.5,1.5,11.25,4.44,15.25,7.15
11750,41.25,1.3,14.25,4.49,14.25,4.92
12000,41.5,1.5,13,1.63,13.67,1.25
12250,36,0,13.5,2.69,19,2.83
12500,31,0.82,16,1.41,17,4.74
12750,32.5,2.29,14.25,2.86,14.75,3.56
13000,38.75,1.09,8.33,2.87,16,4.06
13250,42.33,0.47,19,1.63,18.75,3.9
13500,41.5,1.12,9.75,5.8,20.75,1.79
13750,36.75,1.3,15.75,6.94,19.25,3.34
14000,34.75,1.79,18.25,3.7,13,3.24
14250,30.75,9.12,13.5,7.23,20.25,1.3
14500,39,1.87,15,3.24,18.5,3.57
14750,43.25,1.48,16.67,3.4,12.5,2.5
15000,36.25,3.19,15.25,5.93,13.5,7.02
15250,33.5,1.5,22.33,1.25,15,0
15500,35,3.74,17.67,2.87,16,3.67
15750,34.67,4.78,14.75,3.27,12.33,3.4
16000,41,1.22,17,3.67,15.5,3.2
16250,41.75,0.83,14.33,4.03,12.5,4.5
16500,34.67,2.36,21,0,17,2.16
16750,34.75,1.79,17,1,15,1.87
17000,27.75,10.76,16,1.41,17,4.85
17250,37.5,2.6,15.25,3.56,19.25,1.3
17500,42.5,1.5,19,1.73,14.5,4.72
17750,35.5,3.91,13,2.16,15,4.97
18000,36,0,22.5,1.66,17.5,5.55
18250,38,1.63,17.75,3.49,14.33,3.86
18500,34.67,2.36,15.33,1.89,18.67,1.7
18750,40.67,1.7,3,0,18.67,4.71
19000,42.75,1.09,13,7.12,15.33,2.49
19250,35.25,4.44,17.67,4.71,15.33,5.19
19500,31,0.82,20.5,1.5,16,1.22
19750,30.75,3.9,12,9,16.25,1.3
20000,38.25,3.27,16.75,2.49,17.5,2.06
20250,43.25,1.3,18,2.12,16.75,2.95
20500,37.5,3.2,14,3.32,15.75,2.86
20750,36,2.12,20.5,0.5,15.25,3.7
21000,31.67,1.25,21.67,0.94,13,3
21250,36,3.74,12.5,3.77,19.25,1.64
21500,40,1.22,13.25,2.95,15,8.75
21750,44,0.82,17,3.54,19,0.82
22000,38.5,4.15,12.5,5.22,15.25,5.45
22250,36.67,0.94,19.67,1.25,18,6.75
22500,34.75,1.79,19.5,2.6,14,2.12
22750,32.25,6.76,10.67,4.78,14.75,4.66
23000,38.75,2.17,14,2.94,19.25,1.79
23250,42.5,0.87,19.33,1.7,17,2.45
23500,37.25,3.19,15.33,1.7,15.33,1.25
23750,36.33,0.47,19,1.58,18.33,4.5
24000,36,4.06,17.25,3.9,11.5,6.26
24250,33.5,4.5,15,4.42,12,2.74
24500,38.5,0.5,11.67,7.76,20,1.58
24750,43.25,1.3,18.33,2.49,17.25,3.27
25000,39.75,2.49,9.5,4.27,13.5,3.35
25250,35.25,3.27,15.67,1.25,19,0.82
25500,34,4.24,16,1.22,15.25,2.77
25750,36.33,2.36,10.75,3.49,19.25,2.05
26000,42,0,15.33,2.49,19,3.46
26250,40.67,2.05,13.75,7.36,14.33,4.19
26500,36,1.87,19,3.56,20.67,5.44
26750,33.75,3.77,22,0.71,11.75,3.49
27000,32,4,11.5,3.5,20.33,0.47
27250,38.75,1.3,13.75,2.28,18.25,2.17
27500,42.75,0.83,17.5,1.5,19.75,2.17
27750,43.67,1.25,13,2.16,11.25,2.49
28000,36,4.24,16.5,6.22,20.25,3.34
28250,32.75,2.17,23.75,0.43,14.75,3.7
28500,35,4.08,19.33,6.6,17.75,5.36
28750,37,3.74,13.5,3.35,17.25,2.28
29000,42,2.12,15.75,6.3,19,2.12
29250,39.75,5.76,15.5,2.29,15.25,4.38
29500,34.5,1.5,21.75,0.83,18.75,3.9
29750,33.75,3.27,19.75,2.77,13.33,5.19
30000,35,3.74,13.67,4.78,17,3.24
30250,40.5,1.5,11,3,17.5,2.06
30500,43,0.71,12.25,1.92,11.25,5.12
30750,36,3.32,9.33,6.94,11.33,4.19
31000,33.25,1.64,19.5,1.5,15.75,2.49
31250,34,3.67,14.25,3.9,15.25,3.7
31500,39,0,13,1,20.67,0.47
31750,43,1,11.67,5.56,19,2.16
32000,43.75,1.09,16.5,1.12,11.67,8.22
32250,36,4.24,14.25,7.46,15.25,2.49
32500,32.25,2.49,16,3.94,12.25,3.7
32750,29.33,6.8,13,1,20.33,0.47
33000,39,1.87,13.25,5.26,20.33,2.49
33250,43.25,1.09,17.67,2.05,19.33,2.05
33500,37,3.24,11.33,2.62,15.75,2.59
33750,33,2.12,18.25,2.17,19.5,2.69
34000,35.75,5.26,17,1.58,10,4.24
34250,38.25,1.48,15,0,16.67,2.87
34500,42.25,1.79,15,6.48,19.67,0.94
34750,43,1.41,12.67,2.49,19.67,1.25
35000,33,2.45,18,4.24,15.75,4.32
35250,33.25,0.43,15.25,2.28,12.5,2.29
35500,31.67,5.44,19.67,1.25,16.75,3.49
35750,37.75,1.3,12.67,3.68,18,3.54
36000,41,1.22,16.33,5.25,19.33,1.25
36250,42.33,1.25,12.5,1.5,18.33,2.49
36500,33.75,2.49,18,4.3,18.75,2.28
36750,33,0,15,2.24,15.5,0.87
37000,33,5.61,15.5,5.12,17.5,3.35
37250,36.67,0.94,13.67,3.77,17,4.9
37500,40.25,2.05,18,0.71,19.5,2.6
37750,42.75,1.09,13.75,2.68,11.5,6.42
38000,36.25,2.05,19.33,1.25,17.75,4.09
38250,33,1.87,17.33,0.94,14,2.16
38500,32.25,5.54,15,4.12,20.5,0.87
38750,39,0,14.25,2.68,19.5,1.5
39000,43.75,1.79,20,0.71,18.67,1.7
39250,39.67,3.3,15,2.45,17.33,0.94
39500,35,1.22,22.75,1.3,19.25,3.27
39750,33.25,3.49,19.75,2.77,14.25,3.96
40000,35,4.9,11.5,3.5,14,4.06
40250,40.75,1.3,14.75,3.9,13.25,1.79
40500,43.75,1.3,17,2.16,15,2.94
40750,34.25,5.45,11.33,2.87,16.25,2.49
41000,32.25,3.27,15.75,1.3,21,0.71
41250,31.75,3.03,16.33,3.09,13.75,2.05
41500,37.67,1.25,16.33,1.25,16.67,1.7
41750,44,1.58,11.5,1.8,19.25,1.79
42000,38.5,4.15,12.75,3.27,15.75,2.59
42250,34.75,1.79,14.75,2.77,14.5,7.83
42500,33.33,4.71,17,1.41,10.5,6.34
42750,33.33,4.03,15,0,16.75,4.32
43000,40,1.22,10.75,4.44,20,2.12
43250,43.75,1.3,13.33,3.09,18,2.55
43500,33.75,5.63,15.5,2.87,17,2.74
43750,32,1.22,20,1.22,14.25,2.49
44000,34.5,3.35,12,4.36,18.5,2.29
44250,38.25,1.48,14.5,1.5,17.25,0.83
44500,42.5,0.87,14.67,2.62,18.67,0.94
44750,35.5,4.09,11.75,2.17,15.25,3.9
45000,33.5,0.87,16.75,2.28,17.25,2.28
45250,35.75,7.15,14.75,5.36,16.75,1.64
45500,35.25,3.34,13,4.85,16,2
45750,43.5,2.06,14,2.45,18.75,1.92
46000,43.33,1.25,12.67,2.05,15.33,2.49
46250,38,1.41,11.33,2.05,18.75,1.48
46500,32.33,0.94,20.67,0.47,15,8.15
46750,32.67,4.5,16.33,3.68,14.25,3.34
47000,38,3,11.75,4.15,20.5,1.5
47250,42.75,1.3,18,1.87,15,4.24
47500,38.5,2.29,15.33,0.47,19,0.82
47750,35.67,2.05,20,1.22,16,2.94
48000,33,3.67,19.33,0.47,12.75,1.92
48250,33,2.45,15.67,1.7,17.5,1.66
48500,38.75,1.09,10.75,4.71,19.5,2.06
48750,42.75,1.3,15,1.87,19.5,1.8
49000,40,5.87,11,4.55,19.5,1.12
49250,33.75,1.3,16.33,3.68,19,1.58
49500,33,4.24,16.25,2.49,16.25,3.49
49750,34.75,3.03,14.33,0.94,17,1.63
50000,40.5,1.12,14,2.94,18,0.71
50250,43.5,1.12,16,2.12,18.25,2.77
50500,38.33,1.7,17.33,5.73,21,0
50750,32.25,0.83,20,1.22,13.75,6.76
51000,34.25,3.7,15.33,5.44,13.75,1.48
51250,39.67,0.47,11.67,5.31,19,2.74
51500,43,1,15.33,2.05,15.25,5.58
51750,39.25,2.68,14,1.41,18.25,1.92
52000,35,2.12,20,1.22,13.5,4.5
52250,34.5,3.35,18.5,1.12,15,1.87
52500,34,4.24,15.67,3.3,13,2.12
52750,40.33,0.94,15.75,2.28,19.67,1.25
53000,43.5,1.5,15.75,4.32,17,3.67
53250,35,4.69,15.5,4.27,16.5,3.91
53500,33,0,21,0,14.5,0.5
53750,34.33,4.99,18.2,1.6,13.4,5.61
54000,40.25,1.64,11.67,6.24,20.67,1.25
54250,44,1.22,17,1.22,20.25,2.86
54500,36.75,3.27,14.75,1.09,12,4.64
54750,33.75,1.3,19.5,1.12,17.5,4.15
55000,33.25,3.49,19.25,1.3,15.5,3.5
55250,35.67,2.87,17.25,2.86,14,2.16
55500,39,0.71,10.67,1.89,16.75,3.49
55750,42,0,16.67,2.62,22,0.71
56000,41.25,3.27,15.25,3.7,19.25,1.48
56250,34.25,1.79,14,6,19,0.82
56500,32.5,4.39,11.5,4.72,17.25,4.15
56750,38.67,2.05,8,4.24,16.75,5.17
57000,40.33,1.7,13,2.94,20.75,1.79
57250,43,1.22,14.25,3.27,21.25,0.43
57500,36.75,3.27,9,4.3,16.5,2.06
57750,30.5,2.29,13.67,0.47,18.67,0.94
58000,31.75,4.09,13.25,4.21,15.67,5.73
58250,38.5,0.5,12,1.41,19.25,1.09
58500,43,1.22,18.33,0.47,18.67,1.7
58750,38.5,2.6,13.67,1.89,18.75,1.79
59000,33,2.12,10.25,5.72,20.25,1.3
59250,35.33,5.91,17.75,3.11,13.67,1.25
59500,36.25,3.9,13,3.94,17.5,0.5
59750,40,1.63,16.33,3.09,15.5,2.18
60000,43,1.22,19.75,0.43,13,2.94
