# Task: cycling,,,,,,
# Frequency (Hz): 20,,,,,,
# Clock (millisecond): 250,,,,,,
# Duration (seconds): 120,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,41.75,1.79,8.75,6.87,23.25,0.83
250,39.5,3.57,15,0,19.25,3.27
500,35,1.41,19.33,1.25,19.5,3.2
750,36,0,18.5,0.5,21.25,4.76
1000,33.33,2.87,20.25,1.79,23.75,0.43
1250,38.5,1.5,18.67,2.62,22.33,1.7
1500,41.25,1.92,11.33,1.7,22.33,0.94
1750,40.5,3.2,13,2.16,13.5,4.56
2000,34,1.41,17.75,3.7,18.33,4.19
2250,34.25,1.3,17.5,0.5,18.25,4.26
2500,34,3.67,21,3.67,22.5,1.5
2750,38.33,2.05,18.33,2.49,22.25,1.3
3000,39.5,1.66,13.25,3.34,20.75,1.09
3250,40.5,2.96,14.33,3.4,13.67,3.09
3500,35.25,1.3,20,1.22,20.75,1.09
3750,35.25,1.3,13.5,3.35,19.25,2.49
4000,34.25,3.03,19.5,2.29,14,5.1
4250,37.5,1.5,18,4.24,15,3.24
4500,41.75,2.49,15.33,2.49,19.67,1.25
4750,38.75,3.7,12.75,1.3,16,2.92
5000,33.75,1.3,17.5,2.87,15.5,2.29
5250,35.25,1.3,17,1.22,19,0.71
5500,39,2.45,15,6.96,21,0.82
5750,37,3.56,14.75,4.97,14.67,4.92
6000,38.5,2.29,14.67,3.4,17.5,3.35
6250,41.75,3.27,11.5,0.87,17.5,2.87
6500,35,1.41,18,1.41,14.25,6.18
6750,34.5,1.5,13,3.32,18.5,2.29
7000,36,0,15,4.24,22,1.58
7250,34.5,3.35,18.25,4.87,18,3.67
7500,38,1.22,14.25,8.17,18.75,2.49
7750,41.75,1.79,13,3.54,17,5.34
8000,36.75,2.49,14.67,2.05,17.75,3.27
8250,35,1.22,11.75,5.21,19.75,2.17
8500,35.75,3.9,16.75,7.46,18.75,1.79
8750,37,2.74,18.25,4.32,17,2.16
9000,39.5,1.5,8.33,2.87,20,1.41
9250,43.25,1.3,13.25,1.48,20.5,1.5
9500,40.67,0.94,11.75,4.82,14.33,3.3
9750,36,0,20.25,3.9,16.75,4.26
10000,35.25,1.3,19.25,2.68,15.25,2.86
10250,35.5,4.5,16.5,5.85,20.25,1.92
10500,38,1.63,20,1.41,16.5,2.29
10750,41.25,2.17,15.75,5.36,17.75,3.7
11000,41.75,2.17,13.5,4.72,14.5,4.15
11250,34.75,2.49,14.33,4.5,12.75,7.29
11500,34.5,1.5,21,0,13.33,4.64
11750,29.25,7.08,15.33,4.03,15.33,1.25
12000,36.75,2.49,15,3.67,12.5,2.29
12250,40.25,3.03,15.75,2.49,17.33,0.94
12500,43,1.22,9.25,5.49,16.33,0.47
12750,36.75,1.3,13,2.24,14.25,5.12
13000,35.25,1.3,14.25,3.11,13.75,3.11
13250,31.5,2.6,15.75,4.44,13,2.12
13500,37.5,1.12,15.5,3.2,15.67,0.94
13750,42,2.12,17.33,3.86,16.67,1.25
14000,41.25,3.27,6.67,2.62,15.67,1.7
14250,35.25,1.3,13.25,1.79,14,7.04
14500,34,1.41,15.25,4.15,11.33,0.47
14750,35.6,4.5,14.75,5.31,14.2,1.94
15000,37.67,0.94,15,6.08,18.5,2.5
15250,41.67,2.05,13.25,3.96,23,1.41
15500,43.25,2.38,16,1.41,18.75,3.9
15750,36.33,0.47,16.67,1.25,18,4.24
16000,35.75,0.43,16.25,3.03,21.75,0.83
16250,34.5,3.35,19.25,3.63,20.25,3.96
16500,38.5,2.06,16.5,3.64,21.75,3.77
16750,39.5,2.29,13.75,2.17,21.25,0.43
17000,41.25,3.11,16.5,1.66,19.5,2.87
17250,36,0,19.75,0.83,17.33,1.25
17500,36,0,17.67,2.05,22,2.83
17750,35,2.83,19.33,3.4,19.5,1.5
18000,38.5,1.5,19.5,2.69,20,5.34
18250,42,0.82,13.67,1.25,19.67,0.94
18500,39.25,2.28,15.75,3.77,12.25,3.49
18750,35.25,1.3,19.5,2.69,14.75,4.21
19000,36,0,15,1.63,22.25,1.92
19250,36,4.3,17,3.67,20.75,2.28
19500,35.75,5.36,18.75,0.83,21.5,3.2
19750,39,2.24,11,3.46,23.25,1.3
20000,43,2.45,13,6.53,16.25,7.26
20250,37,1.73,15,6,22,1.41
20500,36,0,12.5,3.57,17,4.06
20750,37.67,1.7,17.25,1.3,22.67,1.25
