# Task: lying,,,,,,
# Frequency (Hz): 20,,,,,,
# Clock (millisecond): 250,,,,,,
# Duration (seconds): 120,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,29,0,2.75,0.43,10.2,0.75
250,29.33,0.47,2.5,0.5,10.33,0.94
500,29,0,1.5,0.5,10.25,0.43
750,29.25,0.43,1.5,0.5,10.25,0.83
1000,29,0,1,0,10.5,1.12
1250,29.5,0.5,2.33,0.47,10.25,0.83
1500,29,0,4.33,0.47,9.5,0.5
1750,29,0,4,0,9.5,0.5
2000,29,0,4.5,0.5,9.5,0.5
2250,29,0,5,0.71,10.5,0.87
2500,29,0,4,0.82,9.5,0.5
2750,29,0,5,0.82,9.25,0.43
3000,29,0,6,0,11,0.82
3250,29,0,6.75,0.43,12,0
3500,29.25,0.43,6.33,0.47,12,0
3750,29.33,0.47,6,0,12,0
4000,29,0,6,0,12,0
4250,29,0,6,0,12,0
4500,29,0,6.5,0.5,11.75,0.43
4750,29,0,6.67,0.47,11.75,0.43
5000,29,0,6,0,11.75,0.43
5250,29,0,6,0,12,0
5500,29,0,6,0,11.5,0.5
5750,29,0,5.75,0.43,11.6,0.49
6000,29.25,0.43,6.5,0.87,11.25,0.83
6250,29.33,0.47,6,0,11.67,0.47
6500,29.25,0.43,5.25,0.43,11.5,0.5
6750,30,0,6,0,11.5,0.5
7000,29,0,6.25,0.43,11.75,0.43
7250,29,0,6,0,11.75,0.43
7500,29,0,6.75,0.43,12,0
7750,29.5,0.5,7,0,12,0
8000,29.25,0.43,7.33,0.47,12,0
8250,29,0,7.5,0.5,11.75,0.43
8500,29,0,6.75,0.43,12,0
8750,29.33,0.47,6.25,0.43,12,0
9000,29,0,6.67,0.94,11.75,0.43
9250,29,0,4.5,0.87,10.5,1.12
9500,29.25,0.43,7,0.71,11.5,0.5
9750,29,0,4.75,1.09,9.5,0.5
10000,29,0,5.67,0.47,9.5,0.5
10250,28.5,0.5,6.25,0.43,9.25,0.43
10500,28,0,7,0.71,9.25,0.43
10750,28.25,0.43,5.75,1.79,9.5,0.5
11000,28,0,4.67,0.94,9.5,0.5
11250,28.5,0.5,5,0,8.33,0.47
11500,28,0,6.75,0.83,7.25,1.09
11750,28.5,0.5,7.75,0.43,8,0.71
12000,28.25,0.43,6.75,1.09,9.33,0.47
12250,27.33,0.47,5.75,1.09,8.5,0.5
12500,28.67,0.47,8,2,8.33,0.47
12750,28.75,0.83,8,1.41,7,0.71
13000,28.75,0.83,9.5,1.12,4,2.16
13250,30,0,6,0.82,6.25,1.92
13500,29.75,0.43,6,3.32,7,1.41
13750,29,1,3.75,2.38,6.67,1.89
14000,29.75,0.43,7,3.56,6,0
14250,29.5,0.5,8,4.32,5,0
14500,30,0,8,2.45,6.75,3.34
14750,29.5,0.5,8.5,0.5,8.75,1.09
15000,30,0,9.75,2.49,11.5,0.87
15250,29.5,0.5,7,1,11,0.82
15500,29,0,2.5,0.5,5.25,1.3
15750,29.5,0.5,5,1,9.25,0.83
16000,29.5,0.5,7,0.71,8.5,2.87
16250,29.75,0.43,8.67,1.25,8.5,1.5
16500,29.67,0.47,6,0,2.33,1.25
16750,29.75,0.43,5.5,2.96,5.25,2.86
17000,30,0,10,1.41,7,1.41
17250,30,0,7.75,2.95,8.75,1.64
17500,30,0,6.75,3.49,6.5,0.87
17750,29.25,0.43,6.75,2.28,8,2.55
18000,29.25,0.43,6.5,2.69,10.75,1.64
18250,29.5,0.5,9,2.12,10.5,1.12
18500,29.75,0.43,6.5,1.8,7.5,3.2
18750,29.5,0.5,5,0,9.67,2.62
19000,30,0,6,1.41,8.33,1.7
19250,29.75,0.43,11,2.35,9.5,0.5
19500,30,0,11.25,1.48,10,0
19750,30,0,9.67,3.86,10,2.12
20000,30,0,12.67,2.05,9,2.45
20250,30,0,10.25,2.05,7.75,1.3
20500,29.75,0.43,6.67,5.91,10.5,1.5
20750,30.5,0.87,9,1,11,1.41
21000,32.25,0.83,10.25,1.3,7.75,2.17
21250,32.33,0.47,10.5,1.5,7.33,0.47
21500,30.25,0.43,8.25,1.3,5.67,3.09
21750,33.75,1.3,7.5,2.06,10.5,1.12
22000,35.75,1.79,8.5,2.18,7.5,3.91
22250,33,2.45,7.67,4.19,12.25,3.77
22500,24.75,3.11,10.75,1.09,12,3.67
22750,30,3.08,2.33,0.94,10.25,2.38
23000,29.25,0.83,5.33,0.47,7.25,2.17
23250,29.5,0.87,8.5,1.12,8.25,2.49
23500,28.33,0.94,4.67,3.77,11.5,1.8
23750,28.75,1.64,12,0.71,12.5,0.5
24000,29.75,0.83,13.5,1.5,11.5,0.87
24250,35,2.74,16.5,0.5,11.75,0.43
24500,42.75,1.92,13,2.74,11,1.22
24750,44.5,0.5,11,2.83,12.75,1.3
25000,45,0,13.5,1.12,12.25,1.09
25250,45.5,0.87,14.5,0.5,7.25,2.05
25500,46.25,0.83,14.67,0.47,6.67,0.94
25750,47,0.71,12,0,8.75,0.43
26000,48,0,10.75,1.3,7.5,0.5
26250,48,0,8.75,0.43,8,0.82
26500,48,0,9.67,0.47,7.25,0.83
26750,48,0,8.5,1.12,4.5,2.06
27000,48,0,9,1,5.5,1.66
27250,48,0,7,1.22,3.5,1.5
27500,48,0,3.75,1.48,4.67,0.94
27750,48,0,3.5,0.5,3.33,1.25
28000,48,0,4.67,0.47,4.5,0.5
28250,48,0,4.75,0.43,5,0.82
28500,48,0,3,0.82,4.5,0.5
28750,48,0,2.25,0.43,4.25,1.3
29000,48,0,3.75,1.09,4.25,0.83
29250,48,0,6.25,0.43,3.5,0.87
29500,48,0,7,0,1.33,0.47
29750,48,0,7.67,0.47,1,0
30000,48,0,6.5,0.5,2.5,0.5
30250,48,0,6,0,3,0.82
30500,48,0,5.5,0.5,3.5,1.12
30750,48,0,6,0,2.75,0.83
31000,48,0,6,0,3.25,0.43
31250,48,0,6,0,3,0.71
31500,48,0,4.5,1.12,3,0.71
31750,48,0,3.25,0.43,2.5,0.5
32000,48,0,4,0,2.67,1.25
32250,48,0,4.25,0.43,4.67,0.47
32500,48,0,5,0,3.5,0.5
32750,48,0,5,0,4,0.82
33000,48,0,4,0,4,0
33250,48.25,0.43,3.67,0.47,4,0.82
33500,48,0,3.5,0.5,4,1
33750,48,0,3.5,0.5,4.5,0.5
34000,48,0,4,0,4.33,0.94
34250,48,0,4.75,0.43,4.67,0.47
34500,48,0,5,0,3.67,0.94
34750,48,0,4.75,0.83,4.33,0.47
35000,48,0,6,0,4.25,0.83
35250,48,0,6,0,4.33,1.25
35500,48,0,6,0,5,0
35750,48,0,6.25,0.43,4.75,1.09
36000,48,0,6,0,4.5,1.12
36250,48,0,6.25,0.43,4.75,0.83
36500,48,0,7,0,5.5,0.87
36750,48,0,7,0,4.5,0.5
37000,48,0,7.25,0.43,5.25,0.83
37250,48,0,7.33,0.47,5.33,0.47
37500,48,0,7.25,0.43,5.25,0.83
37750,48,0,7.25,0.43,5.67,0.47
38000,48,0,7.75,0.43,5,0.71
38250,48,0,7.67,0.47,5.25,0.83
38500,48,0,7.5,0.5,5.75,0.43
38750,48,0,7.5,0.5,5.25,0.83
39000,48,0,7,0,5.25,1.09
39250,48,0,6.75,0.43,5.5,0.5
39500,48,0,7,0,5.5,0.5
39750,48,0,6,0,5.25,0.83
40000,48,0,6,0,5.75,0.43
40250,48,0,6.5,0.5,6,0
